COD_DEPARTAMENTO,DEPARTAMENTO,COD_MUNICIPIO,MUNICIPIO,INDICE,ipm,saber_punt_global_mean
08,ATLÁNTICO,08137,CAMPO DE LA CRUZ,"0,60",0.2301888,181.0
25,CUNDINAMARCA,25592,QUEBRADANEGRA,"0,55",0.19428256765261168,201.0
54,NORTE DE SANTANDER,54003,ABREGO,"1,29",0.26416399286987524,253.71428571428572
52,NARIÑO,52560,POTOSÍ,"0,88",0.254,284.7142857142857
68,SANTANDER,68669,SAN ANDRÉS,"1,97",0.20767434317223482,290.85714285714283
05,ANTIOQUIA,05361,ITUANGO,"3,70",0.2120180810731992,187.5
15,BOYACÁ,15664,SAN JOSÉ DE PARE,"1,14",0.21142715559960357,268.0
17,CALDAS,17042,ANSERMA,"4,31",0.20705396825396827,304.75
20,CESAR,20787,TAMALAMEQUE,"0,22",0.261579879560751,210.0
68,SANTANDER,68689,SAN VICENTE DE CHUCURÍ,"2,76",0.20767434317223482,280.0
68,SANTANDER,68211,CONTRATACIÓN,"5,52",0.20767434317223482,318.0
41,HUILA,41801,TERUEL,"0,55",0.22292018170019468,301.0
15,BOYACÁ,15673,SAN MATEO,"3,39",0.21142715559960357,275.9
05,ANTIOQUIA,05411,LIBORINA,"3,98",0.2120180810731992,210.0
25,CUNDINAMARCA,25035,ANAPOIMA,"3,91",0.19428256765261168,223.42857142857142
41,HUILA,41319,GUADALUPE,"1,57",0.22292018170019468,273.0
47,MAGDALENA,47570,PUEBLOVIEJO,"0,04",0.2781801670904468,208.5
15,BOYACÁ,15491,NOBSA,"7,38",0.21142715559960357,286.2040816326531
15,BOYACÁ,15215,CORRALES,"4,68",0.21142715559960357,270.0833333333333
70,SUCRE,70820,SANTIAGO DE TOLÚ,"6,04",0.2775482487491065,282.3333333333333
41,HUILA,41503,OPORAPA,"0,38",0.22292018170019468,289.2142857142857
08,ATLÁNTICO,08436,MANATÍ,"0,08",0.2301888,222.5
23,CÓRDOBA,23672,SAN ANTERO,"4,93",0.2646156546156546,237.2
52,NARIÑO,52678,SAMANIEGO,"1,39",0.254,283.0877192982456
76,VALLE DEL CAUCA,76122,CAICEDONIA,"9,67",0.19479325699745548,283.92857142857144
05,ANTIOQUIA,05686,SANTA ROSA DE OSOS,"10,90",0.2120180810731992,258.2
15,BOYACÁ,15690,SANTA MARÍA,"4,55",0.21142715559960357,268.6666666666667
05,ANTIOQUIA,05400,LA UNIÓN,"9,96",0.2120180810731992,230.0
25,CUNDINAMARCA,25053,ARBELÁEZ,"3,23",0.19428256765261168,264.3333333333333
25,CUNDINAMARCA,25200,COGUA,"6,59",0.19428256765261168,290.8888888888889
68,SANTANDER,68855,VALLE DE SAN JOSÉ,"1,07",0.20767434317223482,304.3333333333333
68,SANTANDER,68418,LOS SANTOS,"0,51",0.20767434317223482,269.1666666666667
68,SANTANDER,68051,ARATOCA,"1,00",0.20767434317223482,272.8333333333333
15,BOYACÁ,15753,SOATÁ,"4,26",0.21142715559960357,276.3636363636364
76,VALLE DEL CAUCA,76275,FLORIDA,"6,80",0.19479325699745548,249.5222222222222
54,NORTE DE SANTANDER,54800,TEORAMA,"4,38",0.26416399286987524,295.0
15,BOYACÁ,15761,SOMONDOCO,"1,20",0.21142715559960357,233.0
15,BOYACÁ,15814,TOCA,"2,11",0.21142715559960357,282.6
68,SANTANDER,68547,PIEDECUESTA,"17,11",0.20767434317223482,288.4193548387097
15,BOYACÁ,15820,TÓPAGA,"2,43",0.21142715559960357,283.6666666666667
23,CÓRDOBA,23500,MOÑITOS,"0,83",0.2646156546156546,218.66666666666666
